,City,Lat,Lng,maxTemp,humidity,clouds,windspeed,country,date
0,tunceli,39.1083,39.5471,74.48,30,0,7.05,TR,1658596748
1,cape town,-33.9258,18.4232,55.76,60,11,12.73,ZA,1658596553
2,castro,-24.7911,-50.0119,73.96,39,100,4.99,BR,1658596748
3,longyearbyen,78.2186,15.6401,45.84,85,100,4.94,SJ,1658596748
4,yellowknife,62.456,-114.3525,61.72,51,77,16.6,CA,1658596749
5,mar del plata,-38.0023,-57.5575,60.1,53,100,4.61,AR,1658596666
6,vaini,-21.2,-175.2,69.96,88,40,11.5,TO,1658596749
7,maldonado,-34.6667,-54.9167,65.64,81,74,10.96,UY,1658596749
8,jiexiu,37.0244,111.9125,71.96,51,0,5.08,CN,1658596750
9,bud,39.447,-86.1758,83.19,52,22,10.33,US,1658596750
10,rikitea,-23.1203,-134.9692,71.74,72,16,7.87,PF,1658596751
11,severo-kurilsk,50.6789,156.125,53.02,91,99,4.9,RU,1658596751
12,souillac,-20.5167,57.5167,70.2,77,69,18.3,MU,1658596751
13,tasiilaq,65.6145,-37.6368,42.96,75,100,1.86,GL,1658596751
14,knysna,-34.0363,23.0471,53.73,79,51,11.48,ZA,1658596752
15,chicama,-7.8447,-79.1469,71.15,64,48,9.78,PE,1658596752
16,punta arenas,-53.15,-70.9167,39.22,67,0,11.5,CL,1658596752
17,moldovenesti,46.5,23.65,90.99,29,20,3.44,RO,1658596753
18,hobart,-42.8794,147.3294,48.38,90,86,5.17,AU,1658596753
19,la romana,18.4273,-68.9728,88.21,53,81,16.75,DO,1658596753
20,saint george,37.1041,-113.5841,98.64,20,0,4.0,US,1658596754
21,narayanpet,16.7333,77.5,75.02,86,100,10.67,IN,1658596754
22,abu samrah,35.3029,37.1841,89.28,24,0,13.35,SY,1658596755
23,coquimbo,-29.9533,-71.3436,55.13,82,100,1.14,CL,1658596755
24,coahuayana,18.7333,-103.6833,86.83,68,100,2.33,MX,1658596755
25,kapaa,22.0752,-159.319,77.32,79,20,16.11,US,1658596756
26,lebu,-37.6167,-73.65,53.67,91,100,5.86,CL,1658596756
27,ilulissat,69.2167,-51.1,44.62,100,75,2.3,GL,1658596756
28,avarua,-21.2078,-159.775,72.97,75,98,22.5,CK,1658596757
29,ushuaia,-54.8,-68.3,35.26,69,75,6.91,AR,1658596757
30,chokurdakh,70.6333,147.9167,43.27,69,42,8.1,RU,1658596757
31,jamestown,42.097,-79.2353,86.95,55,0,11.99,US,1658596615
32,egvekinot,66.3167,-179.1667,35.76,82,98,6.31,RU,1658596758
33,vostok,46.4856,135.8833,57.61,95,82,1.59,RU,1658596758
34,kovrov,56.3572,41.3192,70.59,68,49,3.38,RU,1658596758
35,new norfolk,-42.7826,147.0587,47.91,85,91,1.9,AU,1658596759
36,kadan,50.3833,13.2667,75.6,65,64,7.0,CZ,1658596759
37,san cristobal,7.7669,-72.225,78.98,37,82,9.24,VE,1658596569
38,nhulunbuy,-12.2333,136.7667,66.81,88,29,1.14,AU,1658596759
39,penapolis,-21.4197,-50.0775,86.02,23,43,4.68,BR,1658596760
40,selma,36.5708,-119.6121,89.19,34,0,9.22,US,1658596259
41,sao filipe,14.8961,-24.4956,77.02,85,71,6.24,CV,1658596760
42,barrow,71.2906,-156.7887,35.62,93,100,11.5,US,1658596761
43,east london,-33.0153,27.9116,56.34,88,0,12.66,ZA,1658596707
44,tuktoyaktuk,69.4541,-133.0374,41.25,96,100,13.89,CA,1658596761
45,puerto ayora,-0.7393,-90.3518,76.96,86,100,5.01,EC,1658596761
46,rivadavia,-33.1905,-68.4608,67.39,21,1,1.48,AR,1658596762
47,port alfred,-33.5906,26.891,55.18,82,94,5.99,ZA,1658596762
48,esperance,-33.8667,121.9,55.26,84,100,14.54,AU,1658596762
49,faya,18.3851,42.4509,66.72,57,96,8.7,SA,1658596763
50,ryotsu,38.0833,138.4333,71.33,88,85,1.61,JP,1658596763
51,cherskiy,68.75,161.3,46.08,69,11,2.84,RU,1658596763
52,mataura,-46.1927,168.8643,32.49,88,82,3.15,NZ,1658596764
53,balkanabat,39.5108,54.3671,89.96,32,0,14.52,TM,1658596764
54,olga,43.7444,135.2892,60.21,94,97,3.78,RU,1658596764
55,tuatapere,-46.1333,167.6833,40.1,92,95,1.61,NZ,1658596765
56,ulladulla,-35.35,150.4667,50.13,90,54,3.76,AU,1658596765
57,arraial do cabo,-22.9661,-42.0278,84.16,65,0,12.66,BR,1658596765
58,karimnagar,18.4333,79.15,74.1,92,100,6.35,IN,1658596766
59,hamilton,39.1834,-84.5333,94.82,40,29,7.34,US,1658596479
60,leningradskiy,69.3833,178.4167,33.96,92,100,10.42,RU,1658596766
61,hermiston,45.8404,-119.2895,82.24,43,0,10.36,US,1658596767
62,tessalit,20.1986,1.0114,105.73,9,66,6.06,ML,1658596767
63,hermanus,-34.4187,19.2345,50.81,67,39,7.25,ZA,1658596767
64,yulara,-25.2406,130.9889,60.21,37,0,6.69,AU,1658596768
65,iskateley,67.6803,53.1512,52.16,79,100,17.2,RU,1658596768
66,saint-philippe,-21.3585,55.7679,69.39,85,55,13.65,RE,1658596768
67,albany,42.6001,-73.9662,94.62,37,0,1.01,US,1658596700
68,matay,28.419,30.7792,94.82,17,1,9.66,EG,1658596769
69,carnarvon,-24.8667,113.6333,62.67,94,75,16.11,AU,1658596769
70,mabaruma,8.2,-59.7833,85.66,63,20,6.93,GY,1658596769
71,kumluca,36.3703,30.2869,86.4,41,0,7.14,TR,1658596770
72,humaita,-7.5061,-63.0208,98.08,26,6,4.47,BR,1658596770
73,pevek,69.7008,170.3133,35.26,85,97,2.33,RU,1658596770
74,curuguaty,-24.4694,-55.6945,88.99,27,54,7.36,PY,1658596771
75,faanui,-16.4833,-151.75,78.8,73,4,12.75,PF,1658596771
76,butaritari,3.0707,172.7902,81.61,79,21,14.05,KI,1658596772
77,bluff,-46.6,168.3333,32.81,76,64,6.62,NZ,1658596772
78,nikolskoye,59.7035,30.7861,73.8,87,97,5.06,RU,1658596772
79,lavrentiya,65.5833,-171.0,44.02,82,97,14.03,RU,1658596772
80,codrington,-38.2667,141.9667,47.14,96,24,7.25,AU,1658596773
81,chuy,-33.6971,-53.4616,63.25,90,98,4.97,UY,1658596773
82,georgetown,5.4112,100.3354,82.33,91,40,3.44,MY,1658596267
83,beaverlodge,55.2166,-119.4361,70.95,42,12,8.28,CA,1658596774
84,luderitz,-26.6481,15.1594,64.29,57,0,27.54,NA,1658596774
